0	[Kubus]	mesh=1	world=(-0.00503479, 0.293069, -1.9075)	local=(-0.000311723, 0.128139, 1.90544)
1	[Kubus.001]	mesh=1	world=(0.196306, 0.375192, -1.92926)	local=(-0.201678, 0.211262, 1.92269)
2	[Kubus.002]	mesh=1	world=(-0.211987, 0.375227, -1.92857)	local=(0.206615, 0.211262, 1.92262)
3	[Kubus.003]	mesh=1	world=(-0.212021, 0.37576, -1.95342)	local=(0.206611, 0.213058, 1.94741)
4	[Kubus.004]	mesh=1	world=(0.196637, 0.375725, -1.95411)	local=(-0.202047, 0.213057, 1.94749)
5	[AIR DUCK]	mesh=0	world=(-0.00247306, 0.261975, 0.00199139)	local=(-1.3361, 0, -0.00533089)
6	[Silinder .002]	mesh=1	world=(-0.429976, 0.354364, -1.90275)	local=(0.424641, 0.189113, 1.89823)
7	[Silinder .003]	mesh=1	world=(0.429519, 0.353797, -1.91321)	local=(-0.434869, 0.189079, 1.9074)
8	[Silinder .004]	mesh=1	world=(-0.0041631, 0.352408, -1.95224)	local=(-0.00124624, 0.189676, 1.94711)
9	[BASE BAR]	mesh=0	world=(-0.00247306, 0.261975, 0.00199139)	local=(-1.3361, 0, -0.00533089)
10	[Silinder ]	mesh=1	world=(0.325716, 0.423598, -1.52383)	local=(-0.330475, 0.238992, 1.51513)
11	[Silinder .001]	mesh=1	world=(-0.288794, 0.445722, -1.59636)	local=(0.283928, 0.264775, 1.58737)
12	[p]	mesh=0	world=(-0.00247306, 0.261975, 0.00199139)	local=(-1.3361, 0, -0.00533089)
13	[Object]	mesh=1	world=(0.0284004, -0.0114367, -1.79741)	local=(0.0350718, -0.0182927, -0.504416)
14	[Grup]	mesh=0	world=(-0.00482649, 0.492726, -1.77065)	local=(0.728283, 1.79447, -0.558639)
15	[Object.001]	mesh=1	world=(0.413324, 0.553687, -1.4642)	local=(0.310599, 1.48469, -0.60394)
16	[Object_10]	mesh=0	world=(0.726161, 0.0259907, 0.048806)	local=(0, 0, -0)
17	[Object_11]	mesh=1	world=(0.726161, 0.0259907, 0.048806)	local=(0, 0, -0)
18	[Object_12]	mesh=1	world=(0.726161, 0.0259907, 0.048806)	local=(0, 0, -0)
19	[Object_14]	mesh=1	world=(0.726161, 0.0259907, 0.048806)	local=(0, 0, -0)
20	[Object_15]	mesh=1	world=(0.726161, 0.0259907, 0.048806)	local=(0, 0, -0)
21	[Object_16]	mesh=1	world=(0.726161, 0.0259907, 0.048806)	local=(0, 0, -0)
22	[Object_17]	mesh=0	world=(0.724114, -0.0514361, -1.47207)	local=(-0.000249239, 1.52284, -0)
23	[Object_18]	mesh=1	world=(0.726161, 0.0259907, 0.048806)	local=(0, 0, -0)
24	[Object_19]	mesh=1	world=(0.726161, 0.0259907, 0.048806)	local=(0, 0, -0)
25	[Object_2]	mesh=1	world=(0.726161, 0.0259907, 0.048806)	local=(0, 0, -0)
26	[Object_20]	mesh=1	world=(0.726161, 0.0259907, 0.048806)	local=(0, 0, -0)
27	[Object_21]	mesh=0	world=(0.726161, 0.0259907, 0.048806)	local=(0, 0, -0)
28	[Object_22]	mesh=0	world=(0.72412, -0.0512301, -1.46792)	local=(-0.000248513, 1.51869, 5.42029e-06)
29	[Object_23]	mesh=1	world=(0.726161, 0.0259907, 0.048806)	local=(0, 0, -0)
30	[Object_24]	mesh=1	world=(0.726161, 0.0259907, 0.048806)	local=(0, 0, -0)
31	[Object_25]	mesh=1	world=(0.726161, 0.0259907, 0.048806)	local=(0, 0, -0)
